"","Gene","meta.pvalue","FDR","seed.gene","DAWN.gene","SCHEMA.FDR.gene"
"1","TGM3",0.105,8.71372965383088e-06,"NO","YES","NO"
"2","NR1I2",0.315,2.82649296087234e-05,"NO","YES","NO"
"3","MYO3A",0.0618,0.000321588171498262,"NO","YES","NO"
"4","PREP",5.99e-05,0.000515955998939527,"YES","YES","YES"
"5","STRBP",0.00628,0.000721292316526267,"YES","YES","NO"
"6","CUL1",2.01e-09,0.00100261272075791,"YES","YES","YES"
"7","AKAP14",0.017,0.00136338312422362,"NO","YES","NO"
"8","XPO7",7.18e-09,0.00167543078678919,"YES","YES","YES"
"9","FABP7",0.000553,0.00193126184926313,"YES","YES","NO"
"10","SRRM2",1.53e-05,0.00248919003008091,"YES","YES","YES"
"11","TRIO",6.35e-08,0.00308063885279379,"YES","YES","YES"
"12","RHOBTB2",0.0673,0.00397597321418769,"NO","YES","NO"
"13","CACNA1G",4.57e-07,0.00523036606515836,"YES","YES","YES"
"14","SP4",5.08e-07,0.00637210490151267,"YES","YES","YES"
"15","GRIA3",5.98e-07,0.00746339929804144,"YES","YES","YES"
"16","GRIN2A",7.37e-07,0.00855137954440456,"YES","YES","YES"
"17","HERC1",1.26e-06,0.00989344454031487,"YES","YES","YES"
"18","RB1CC1",2e-06,0.0114775801057792,"YES","YES","YES"
"19","HCN4",2.54e-06,0.0131202533918806,"YES","YES","YES"
"20","PI4KA",0.0214,0.0153419475298697,"NO","YES","NO"
"21","DHX58",0.0236,0.0175961663216259,"NO","YES","NO"
"22","AKAP11",8.28e-06,0.0200927758280261,"YES","YES","YES"
"23","ZNF136",9.42e-06,0.022562042597437,"YES","YES","YES"
"24","STEAP2",0.0347,0.0253068283000275,"NO","YES","NO"
"25","NR3C2",1.6e-05,0.0282065509650708,"YES","YES","YES"
"26","ZMYM2",1.73e-05,0.0310192129952868,"YES","YES","YES"
"27","LRRC4",0.0405,0.0336437282913501,"NO","YES","NO"
"28","NRXN1",0.00194,0.0364871363492439,"YES","YES","NO"
"29","FAM120A",2.22e-05,0.0391426625255374,"YES","YES","YES"
"30","SLC26A4",0.319,0.0417942287694321,"NO","YES","NO"
"31","KDM6B",2.57e-05,0.0443588179562691,"YES","YES","YES"
"32","GABRA2",0.0514,0.0469468145409212,"NO","YES","NO"
"33","NAMPT",0.00236,0.0493965697311978,"YES","YES","NO"
"34","FBXO16",0.0027,0.0520273549119399,"YES","NO","NO"
"35","DNM3",3.53e-05,0.0545419694251938,"YES","NO","YES"
"36","CHD5",0.00277,0.0569450055440972,"YES","NO","NO"
"37","ASH1L",3.77e-05,0.0593048035829779,"YES","NO","YES"
