"","Gene","meta.pvalue","FDR","seed.gene","DAWN.gene","SCHEMA.FDR.gene"
"94","TNNT1",0.535,0.378440576079661,"NO","NO","NO"
"95","TNR",0.0274,0.383705497719608,"NO","NO","NO"
"96","CHORDC1",0.537,0.388866371964776,"NO","NO","NO"
"97","TLE4",0.0298,0.393965474852493,"NO","NO","NO"
"98","KLRB1",0.554,0.398974004620074,"NO","NO","NO"
"99","STAG1",5.26e-05,0.40388732524754,"YES","NO","YES"
"100","GALM",0.556,0.408702981151158,"NO","NO","NO"
"101","PREP",5.99e-05,0.41346243096512,"YES","NO","YES"
"102","MAGEC1",6.18e-05,0.418137876324576,"YES","NO","YES"
"103","MCM7",0.573,0.422727624523371,"NO","NO","NO"
"104","CUL4B",0.0343,0.427234136962274,"NO","NO","NO"
"105","MAGI2",6.41e-05,0.431655365008869,"YES","NO","YES"
"106","SYVN1",0.575,0.435993599016062,"NO","NO","NO"
"107","DAGLA",6.87e-05,0.440269721363766,"YES","NO","YES"
"108","RCAN3",0.588,0.4444849752399,"NO","NO","NO"
"109","GRM1",0.0372,0.448625893046851,"NO","NO","NO"
"110","SLC22A11",7.56e-05,0.452696210543126,"YES","NO","YES"
"111","SV2A",8.21e-05,0.456714731185474,"YES","NO","YES"
"112","EIF2S3",8.23e-05,0.460662117195156,"YES","NO","YES"
"113","SEMA3F",0.0443,0.464594900945336,"NO","NO","NO"
"114","GLI3",0.0465,0.468480422608293,"NO","NO","NO"
"115","ANK3",0.0473,0.472305879770429,"NO","NO","NO"
"116","CYP2C18",0.0474,0.476066299920235,"NO","NO","NO"
"117","SECISBP2L",0.0475,0.479763348182525,"NO","NO","NO"
"118","TMEM53",0.0485,0.483406612251761,"NO","NO","NO"
"119","PDE7B",0.646,0.487010046105898,"NO","NO","NO"
"120","ZBTB4",0.0586,0.490608981000866,"NO","NO","NO"
"121","CEP97",0.0631,0.494177005550242,"NO","NO","NO"
"122","BSCL2",0.000222,0.49770569334893,"YES","NO","NO"
"123","IL1R2",0.0666,0.501178096417868,"NO","NO","NO"
"124","PLK4",0.697,0.504600199181522,"NO","NO","NO"
"125","TOR1B",0.0707,0.507983361802377,"NO","NO","NO"
"126","NR4A2",0.000255,0.511315836227537,"YES","NO","NO"
"127","VIM",0.0741,0.514609165928098,"NO","NO","NO"
"128","NFIX",0.0774,0.517865833642206,"NO","NO","NO"
"129","MAGEA12",0.0835,0.521097052938987,"NO","NO","NO"
"130","HOXC8",0.0842,0.524281256035051,"NO","NO","NO"
"131","FYN",0.000375,0.527426192971581,"YES","NO","NO"
"132","YEATS2",0.0874,0.530525966063104,"NO","NO","NO"
"133","KIF5C",0.745,0.53358276342259,"NO","NO","NO"
"134","PIKFYVE",0.0891,0.536596251731984,"NO","NO","NO"
"135","CRAT",0.000401,0.539567037568806,"YES","NO","NO"
"136","SCAF1",0.000415,0.54249928467301,"YES","NO","NO"
"137","PROM2",0.0961,0.545404069345475,"NO","NO","NO"
"138","EHMT1",0.763,0.548272252372301,"NO","NO","NO"
"139","SLC34A2",0.000479,0.551099204907699,"YES","NO","NO"
"140","ZNF318",0.000479,0.553885772406878,"YES","NO","NO"
"141","CGREF1",0.000487,0.556635117120783,"YES","NO","NO"
"142","FABP7",0.000553,0.559362984968129,"YES","NO","NO"
"143","TRAPPC10",0.000557,0.562053656270259,"YES","NO","NO"
"144","RAPGEF2",0.106,0.56470817298577,"NO","NO","NO"
"145","SLC6A6",0.106,0.567326075677618,"NO","NO","NO"
"146","C11orf87",0.107,0.569910591584006,"NO","NO","NO"
"147","HMG20B",0.107,0.572459944008674,"NO","NO","NO"
"148","PTGER1",0.000585,0.574977460735931,"YES","NO","NO"
"149","HMGCR",0.000644,0.577473112897114,"YES","NO","NO"
"150","CACNA2D1",0.00068,0.579942073157383,"YES","NO","NO"
