"","Gene","meta.pvalue","FDR","seed.gene","DAWN.gene","SCHEMA.FDR.gene"
"1","DLGAP4",0.0998,1.63374758166412e-10,"NO","YES","NO"
"2","ZMIZ2",0.691,3.65451028568886e-05,"NO","YES","NO"
"3","CHERP",0.0521,5.25633065187418e-05,"NO","YES","NO"
"4","ARHGAP1",0.0715,6.6495903630559e-05,"NO","YES","NO"
"5","LZIC",0.00214,0.000130636924088834,"YES","YES","NO"
"6","CACNA1G",4.57e-07,0.000192190038987553,"YES","YES","YES"
"7","SMARCAD1",0.00549,0.00025440721135493,"YES","YES","NO"
"8","LARP1",0.0156,0.000365455819807445,"NO","YES","NO"
"9","SENP7",0.0421,0.00057016893866926,"NO","YES","NO"
"10","XPO7",7.18e-09,0.00098528816131096,"YES","YES","YES"
"11","SLC34A2",0.000479,0.00143443344701342,"YES","YES","NO"
"12","KMT2C",0.148,0.00183929616505646,"NO","YES","NO"
"13","CACNA2D1",0.00068,0.00222878876975943,"YES","YES","NO"
"14","SRPK1",0.000694,0.00256709495603474,"YES","YES","NO"
"15","ATP2B4",0.176,0.00289576559457899,"NO","YES","NO"
"16","RALGPS1",0.22,0.00331189108989602,"NO","YES","NO"
"17","CAMTA1",0.00327,0.00396660688587505,"YES","YES","NO"
"18","GRIN2A",7.37e-07,0.00471327484418739,"YES","YES","YES"
"19","GRIK3",0.00949,0.00580233818297672,"YES","YES","NO"
"20","CA6",0.0208,0.00752506939390068,"NO","YES","NO"
"21","SLC5A7",0.0236,0.00923989642251603,"NO","YES","NO"
"22","C6orf15",0.0291,0.0110798835555116,"NO","YES","NO"
"23","FLRT1",0.0332,0.0129528366684852,"NO","YES","NO"
"24","DYSF",0.0375,0.0148586421868733,"NO","YES","NO"
"25","DNM3",3.53e-05,0.0166970626627045,"YES","YES","YES"
"26","ROBO1",0.045,0.0186077203559629,"NO","YES","NO"
"27","STK17A",0.0557,0.0207694195306096,"NO","YES","NO"
"28","UPF1",0.058,0.0228565918780951,"NO","YES","NO"
"29","IL1R2",0.0666,0.0250847605129526,"NO","YES","NO"
"30","CUL1",2.01e-09,0.0273977292176071,"YES","YES","YES"
"31","DAB2IP",0.1,0.0303405848628661,"NO","YES","NO"
