"","Gene","meta.pvalue","FDR","seed.gene","DAWN.gene","SCHEMA.FDR.gene"
"1","DPP10",0.756,1.07624404050988e-05,"NO","YES","NO"
"2","NPPB",0.107,1.4087863994372e-05,"NO","YES","NO"
"3","MICAL2",0.309,0.000209596525735378,"NO","YES","NO"
"4","STRBP",0.00628,0.000383680053626378,"YES","YES","NO"
"5","SKA3",0.0389,0.00072457887374271,"NO","YES","NO"
"6","ANK3",0.0473,0.000990294572802216,"NO","YES","NO"
"7","COL9A1",0.0848,0.00131398640248822,"NO","YES","NO"
"8","ARAP3",0.0969,0.00159254861355064,"NO","YES","NO"
"9","MKLN1",0.0152,0.00354433286655736,"NO","YES","NO"
"10","SCN2A",0.0232,0.00551470815995765,"NO","YES","NO"
"11","ZBTB4",0.0586,0.00839814449570136,"NO","YES","NO"
"12","PREP",5.99e-05,0.0110770177736225,"YES","YES","YES"
"13","DLGAP5",0.0989,0.01410828304636,"NO","YES","NO"
"14","PTPRN",0.102,0.0167759697468035,"NO","YES","NO"
"15","XPO7",7.18e-09,0.0204723972389423,"YES","YES","YES"
"16","FABP7",0.000553,0.0239488121802097,"YES","YES","NO"
"17","TSHZ3",0.233,0.0279186686569727,"NO","YES","NO"
"18","FANCD2",0.26,0.0319172222222262,"NO","YES","NO"
"19","RAPGEF5",0.452,0.0390670431522447,"NO","YES","NO"
"20","GRIN2A",7.37e-07,0.0456705426619734,"YES","YES","YES"
"21","ENTPD4",0.00718,0.0517151239173116,"YES","NO","NO"
"22","ZC2HC1A",0.477,0.0574569819858975,"NO","NO","NO"
"23","PPP3CA",0.0094,0.0631889311083719,"YES","NO","NO"
"24","FAM111A",0.016,0.0700499057257264,"NO","NO","NO"
"25","HAAO",0.0459,0.0805466599488152,"NO","NO","NO"
"26","PPM1L",0.052,0.0908294439084788,"NO","NO","NO"
"27","TEX13B",0.0586,0.100923474951389,"NO","NO","NO"
"28","ATG4C",0.0605,0.110448240297015,"NO","NO","NO"
"29","CUL1",2.01e-09,0.122968921002523,"YES","NO","YES"
"30","PF4",0.144,0.135660160090313,"NO","NO","NO"
"31","PHIP",0.196,0.149423776055614,"NO","NO","NO"
"32","SRPK1",0.000694,0.162471158585783,"YES","NO","NO"
"33","SPTAN1",0.262,0.176413494227823,"NO","NO","NO"
"34","TRIO",6.35e-08,0.190076080918784,"YES","NO","YES"
"35","RYR2",0.00208,0.203402459597372,"YES","NO","NO"
"36","CAMTA1",0.00327,0.217006348450318,"YES","NO","NO"
"37","ATP2B1",0.00448,0.230552851693643,"YES","NO","NO"
"38","NFIC",0.00488,0.243563592768667,"YES","NO","NO"
"39","KCNV1",0.00516,0.256019219649978,"YES","NO","NO"
"40","CACNA1G",4.57e-07,0.267926019511695,"YES","NO","YES"
"41","SKIL",0.427,0.279307407172228,"NO","NO","NO"
"42","SP4",5.08e-07,0.290202926083847,"YES","NO","YES"
"43","GRIA3",5.98e-07,0.300756064444842,"YES","NO","YES"
"44","HERC1",1.26e-06,0.311538584027713,"YES","NO","YES"
"45","GRIK3",0.00949,0.32185524750556,"YES","NO","NO"
"46","RB1CC1",2e-06,0.332109436407941,"YES","NO","YES"
"47","HCN4",2.54e-06,0.342122659917133,"YES","NO","YES"
"48","AKAP11",8.28e-06,0.352594507941265,"YES","NO","YES"
"49","TSHB",0.663,0.362676633218442,"NO","NO","NO"
"50","ZNF136",9.42e-06,0.37240330389754,"YES","NO","YES"
