"","Gene","meta.pvalue","FDR","seed.gene","DAWN.gene","SCHEMA.FDR.gene"
"1","CUL1",2.01e-09,0.000290195080636213,"YES","YES","YES"
"2","XPO7",7.18e-09,0.000382197041243926,"YES","YES","YES"
"3","TRIO",6.35e-08,0.000486922500621101,"YES","YES","YES"
"4","CACNA1G",4.57e-07,0.000774910182674671,"YES","YES","YES"
"5","SP4",5.08e-07,0.00118607608249219,"YES","YES","YES"
"6","GRIA3",5.98e-07,0.00149623138644972,"YES","YES","YES"
"7","GRIN2A",7.37e-07,0.0017611405773404,"YES","YES","YES"
"8","HERC1",1.26e-06,0.0020772298689808,"YES","YES","YES"
"9","RB1CC1",2e-06,0.00243858086655607,"YES","YES","YES"
"10","HCN4",2.54e-06,0.00279188859870265,"YES","YES","YES"
"11","SRRM2",1.53e-05,0.00334524777439015,"YES","YES","YES"
"12","AKAP11",8.28e-06,0.00395427407927994,"YES","YES","YES"
"13","ZNF136",9.42e-06,0.00452455716336611,"YES","YES","YES"
"14","NR3C2",1.6e-05,0.00526533094205285,"YES","YES","YES"
"15","ZMYM2",1.73e-05,0.00594823630423182,"YES","YES","YES"
"16","FAM120A",2.22e-05,0.00668006848720656,"YES","YES","YES"
"17","KDM6B",2.57e-05,0.00740872159822311,"YES","YES","YES"
"18","DNM3",3.53e-05,0.00825037390190025,"YES","YES","YES"
"19","ASH1L",3.77e-05,0.00904587716345278,"YES","YES","YES"
"20","STAG1",5.26e-05,0.00999129525552624,"YES","YES","YES"
"21","SOBP",0.000132,0.0108821797020764,"YES","YES","NO"
"22","PREP",5.99e-05,0.011751189859767,"YES","YES","YES"
"23","MAGEC1",6.18e-05,0.0125670363537631,"YES","YES","YES"
"24","MAGI2",6.41e-05,0.0133405220173322,"YES","YES","YES"
"25","DAGLA",6.87e-05,0.0141002622523857,"YES","YES","YES"
"26","SLC22A11",7.56e-05,0.0148686548975593,"YES","YES","YES"
"27","ANKRD12",7.87e-05,0.0156083630997799,"YES","YES","YES"
"28","SV2A",8.21e-05,0.0163245939964967,"YES","YES","YES"
"29","EIF2S3",8.23e-05,0.0169930819809465,"YES","YES","YES"
"30","BSCL2",0.000222,0.0185055319528879,"YES","YES","NO"
"31","NR4A2",0.000255,0.0200864381084144,"YES","YES","NO"
"32","CACNA2D1",0.00068,0.0218268057342245,"YES","YES","NO"
"33","FYN",0.000375,0.0237200809121547,"YES","YES","NO"
"34","CRAT",0.000401,0.0256000505124447,"YES","YES","NO"
"35","SCAF1",0.000415,0.0274228517544537,"YES","YES","NO"
"36","SLC34A2",0.000479,0.0293597287491341,"YES","YES","NO"
"37","ZNF318",0.000479,0.031191909690048,"YES","YES","NO"
"38","RYR2",0.00208,0.032930124354744,"YES","YES","NO"
"39","CGREF1",0.000487,0.0346008624909966,"YES","YES","NO"
"40","FABP7",0.000553,0.0363759331238755,"YES","YES","NO"
"41","TRAPPC10",0.000557,0.0380752255789265,"YES","YES","NO"
"42","PTGER1",0.000585,0.0397666144461433,"YES","YES","NO"
"43","HMGCR",0.000644,0.0415251288375707,"YES","YES","NO"
"44","SRPK1",0.000694,0.04332024167366,"YES","YES","NO"
"45","TP53I11",0.0101,0.0450454658619835,"NO","YES","NO"
"46","ZMYND11",0.000802,0.0469157874709704,"YES","YES","NO"
"47","LMBR1L",0.000812,0.0487266730283284,"YES","YES","NO"
"48","KCNN3",0.000908,0.0506464875441791,"YES","NO","NO"
"49","SLITRK5",0.000917,0.052504442173597,"YES","NO","NO"
"50","SLC25A43",0.000932,0.0543148759637688,"YES","NO","NO"
"51","ABHD13",0.00106,0.0562713980175877,"YES","NO","NO"
"52","ZFC3H1",0.00107,0.058168811515847,"YES","NO","NO"
"53","HERPUD2",0.00108,0.0600103965710916,"YES","NO","NO"
"54","PUM2",0.00114,0.0618753432799852,"YES","NO","NO"
"55","QRICH1",0.00268,0.063954706642272,"YES","NO","NO"
"56","IPMK",0.00136,0.0659896721855702,"YES","NO","NO"
"57","CHD5",0.00277,0.0679870278927267,"YES","NO","NO"
"58","OTUD4",0.00148,0.0700346734419859,"YES","NO","NO"
"59","ADNP",0.00149,0.0720251280499847,"YES","NO","NO"
"60","CSPG5",0.0015,0.0739612132379994,"YES","NO","NO"
"61","CRB1",0.00152,0.0758572746486996,"YES","NO","NO"
"62","ATP1A2",0.00153,0.0777036568768011,"YES","NO","NO"
"63","HMGB2",0.00155,0.0795139226186476,"YES","NO","NO"
"64","PROM1",0.0016,0.0813223969776078,"YES","NO","NO"
"65","TEFM",0.00171,0.0831911056542648,"YES","NO","NO"
"66","SORCS1",0.00646,0.0850308621515837,"YES","NO","NO"
"67","OMG",0.00177,0.0868482797595031,"YES","NO","NO"
"68","CNOT4",0.00192,0.0887554795744314,"YES","NO","NO"
"69","NRXN1",0.00194,0.0906257989077123,"YES","NO","NO"
"70","SMARCA1",0.00199,0.0924876184856171,"YES","NO","NO"
"71","TSC22D1",0.00201,0.0943145571469125,"YES","NO","NO"
"72","CHAF1B",0.00206,0.0961336712043115,"YES","NO","NO"
"73","BCL6",0.00406,0.097922788808551,"YES","NO","NO"
"74","CLPTM1",0.00211,0.0996852283865677,"YES","NO","NO"
"75","POLRMT",0.00212,0.101408750304883,"YES","NO","NO"
"76","LZIC",0.00214,0.103102807495337,"YES","NO","NO"
"77","DCTN5",0.00219,0.10479174798387,"YES","NO","NO"
"78","PSMA3",0.00224,0.106475317837049,"YES","NO","NO"
"79","GAL3ST2",0.00226,0.108131125994603,"YES","NO","NO"
"80","GAS7",0.00825,0.109773519800933,"YES","NO","NO"
"81","SMG7",0.00235,0.11141212990931,"YES","NO","NO"
"82","NAMPT",0.00236,0.113017763085168,"YES","NO","NO"
"83","HIVEP2",0.00238,0.114598470024962,"YES","NO","NO"
