"","Gene","p.value","FDR","indicator"
"2842","PTGFR",0.9999999,0.923226996503475,0
"2695","FAXDC2",0.9999999,0.923252451732753,0
"2782","FZD3",0.9999999,0.923277890087501,0
"2959","CXCL3",0.9999999,0.923303311584493,0
"2997","LONRF2",0.9999999,0.923328716240479,0
"2797","TSPAN13",0.9999999,0.92335410407219,0
"2986","FOXI1",0.9999999,0.923379475096333,0
"3003","S100Z",0.9999999,0.923404829329593,0
"2746","FMO4",0.9999999,0.923430166788633,0
"2806","PMP22",0.9999999,0.923455487490094,0
"2968","SLC7A3",0.9999999,0.923480791450596,0
"2910","CREB5",0.9999999,0.923506078686735,0
"2992","CXCL10",0.9999999,0.923531349215087,0
"3043","FAM153B",0.9999999,0.923556603052204,0
"2902","LBR",0.9999999,0.923581840214619,0
"3067","ZNF681",0.9999999,0.923607060718841,0
"3086","PBOV1",0.9999999,0.923632264581358,0
"2784","TBC1D17",0.9999999,0.923657451818636,0
"2970","HSPA12A",0.9999999,0.923682622447119,0
"2740","TCF3",0.9999999,0.92370777648323,0
"2789","PDE4C",0.9999999,0.92373291394337,0
"2758","CCNK",0.9999999,0.923758034843918,0
"3005","MOB3A",0.9999999,0.923783139201232,0
"2999","OR7G3",0.9999999,0.923808227031649,0
"2706","HTATSF1",0.9999999,0.923833298351483,0
"2976","RNF214",0.9999999,0.923858353177028,0
"2961","POLR2H",0.9999999,0.923883391524555,0
"2819","SLC4A9",0.9999999,0.923908413410316,0
"2722","PTBP1",0.9999999,0.923933418850538,0
"2756","TMEM230",0.9999999,0.923958407861431,0
"2950","USP1",0.9999999,0.92398338045918,0
"2744","PTGS2",0.9999999,0.924008336659951,0
"3073","SLC2A10",0.9999999,0.924033276479888,0
"2917","SERPING1",0.9999999,0.924058199935114,0
"2911","ZNF157",0.9999999,0.92408310704173,0
"3056","CCIN",0.9999999,0.924107997815817,0
"3082","OR6V1",0.9999999,0.924132872273435,0
"2880","ATP6V1G1",0.9999999,0.924157730430621,0
"2822","SLC30A3",0.9999999,0.924182572303395,0
"2860","SAMD10",0.9999999,0.924207397907751,0
"2908","RNF44",0.9999999,0.924232207259666,0
"2963","HTR4",0.9999999,0.924257000375094,0
"2790","CDK6",0.9999999,0.924281777269969,0
"2919","DOCK1",0.9999999,0.924306537960203,0
"2823","EFHD1",0.9999999,0.92433128246169,0
"3064","PCDHB13",0.9999999,0.9243560107903,0
"2947","GNG3",0.9999999,0.924380722961883,0
"2730","USP2",0.9999999,0.924405418992271,0
"2794","NPVF",0.9999999,0.924430098897271,0
"2930","VOPP1",0.9999999,0.924454762692672,0
"3038","OR2Z1",0.9999999,0.924479410394243,0
"2762","IL11",0.9999999,0.924504042017731,0
"2870","GSTM5",0.9999999,0.924528657578862,0
"2834","IGSF21",0.9999999,0.924553257093344,0
"3013","GLIPR1L1",0.9999999,0.924577840576861,0
"2750","P2RY10",0.9999999,0.924602408045079,0
"2857","ARPP19",0.9999999,0.924626959513644,0
"3035","OR52N1",0.9999999,0.92465149499818,0
"3047","BEGAIN",0.9999999,0.924676014514291,0
"3019","CADM2",0.9999999,0.924700518077561,0
"2715","PPP1R26",0.9999999,0.924725005703555,0
"2775","GUCY2F",0.9999999,0.924749477407815,0
"2916","ITPRIP",0.9999999,0.924773933205865,0
"2939","APPL1",0.9999999,0.924798373113208,0
"2761","SEMA4G",0.9999999,0.924822797145327,0
"2696","DOCK4",0.9999999,0.924847205317685,0
"2937","MMP14",0.9999999,0.924871597645724,0
"2780","TSC2",0.9999999,0.924895974144868,0
"2960","PLSCR2",0.9999999,0.92492033483052,0
"2940","B4GALT5",0.9999999,0.924944679718061,0
"2808","ELP4",0.9999999,0.924969008822855,0
"3004","RRM2",0.9999999,0.924993322160245,0
"2929","APCDD1",0.9999999,0.925017619745553,0
"2998","STAT2",0.9999999,0.925041901594084,0
"2881","MRPL50",0.9999999,0.925066167721119,0
"3031","SKIDA1",0.9999999,0.925090418141924,0
"2832","AGMAT",0.9999999,0.925114652871741,0
"2898","ITGB3BP",0.9999999,0.925138871925796,0
"2871","SYT6",0.9999999,0.925163075319291,0
"2912","LPAR4",0.9999999,0.925187263067413,0
"2906","FEM1C",0.9999999,0.925211435185326,0
"2989","AR",0.9999999,0.925235591688175,0
"2717","KIAA1549L",0.9999999,0.925259732591088,0
"2883","FCHSD2",0.9999999,0.925283857909169,0
"2913","RSPO2",0.9999999,0.925307967657507,0
"2987","MMADHC",0.9999999,0.925332061851168,0
